Running in CPU mode	
Epoch 1.27 / 50, i = 97 / 17800, loss = 2.664465	
Epoch 1.28 / 50, i = 98 / 17800, loss = 2.580921	
Epoch 1.28 / 50, i = 99 / 17800, loss = 2.588724	
Epoch 1.28 / 50, i = 100 / 17800, loss = 2.610483	
Epoch 1.28 / 50, i = 101 / 17800, loss = 2.601503	
Epoch 1.29 / 50, i = 102 / 17800, loss = 2.573161	
Epoch 1.29 / 50, i = 103 / 17800, loss = 2.557418	
Epoch 1.29 / 50, i = 104 / 17800, loss = 2.602336	
Epoch 1.29 / 50, i = 105 / 17800, loss = 2.538992	
Epoch 1.30 / 50, i = 106 / 17800, loss = 2.597220	
Epoch 1.30 / 50, i = 107 / 17800, loss = 2.599569	
Epoch 1.30 / 50, i = 108 / 17800, loss = 2.509923	
Epoch 1.31 / 50, i = 109 / 17800, loss = 2.503328	
Epoch 1.31 / 50, i = 110 / 17800, loss = 2.532438	
Epoch 1.31 / 50, i = 111 / 17800, loss = 2.538090	
Epoch 1.31 / 50, i = 112 / 17800, loss = 2.597625	
Epoch 1.32 / 50, i = 113 / 17800, loss = 2.587618	
Epoch 1.32 / 50, i = 114 / 17800, loss = 2.511833	
Epoch 1.32 / 50, i = 115 / 17800, loss = 2.562289	
Epoch 1.33 / 50, i = 116 / 17800, loss = 2.502543	
Epoch 1.33 / 50, i = 117 / 17800, loss = 2.604319	
Epoch 1.33 / 50, i = 118 / 17800, loss = 2.496891	
Epoch 1.33 / 50, i = 119 / 17800, loss = 2.489655	
Epoch 1.34 / 50, i = 120 / 17800, loss = 2.496457	
Epoch 1.34 / 50, i = 121 / 17800, loss = 2.500922	
Epoch 1.34 / 50, i = 122 / 17800, loss = 2.491572	
Epoch 1.35 / 50, i = 123 / 17800, loss = 2.491509	
Epoch 1.35 / 50, i = 124 / 17800, loss = 2.523548	
Epoch 1.35 / 50, i = 125 / 17800, loss = 2.525446	
Epoch 1.35 / 50, i = 126 / 17800, loss = 2.491590	
Epoch 1.36 / 50, i = 127 / 17800, loss = 2.491336	
Epoch 1.36 / 50, i = 128 / 17800, loss = 2.483187	
Epoch 1.36 / 50, i = 129 / 17800, loss = 2.470819	
Epoch 1.37 / 50, i = 130 / 17800, loss = 2.468707	
Epoch 1.37 / 50, i = 131 / 17800, loss = 2.485782	
Epoch 1.37 / 50, i = 132 / 17800, loss = 2.463840	
Epoch 1.37 / 50, i = 133 / 17800, loss = 2.472101	
Epoch 1.38 / 50, i = 134 / 17800, loss = 2.448640	
Epoch 1.38 / 50, i = 135 / 17800, loss = 2.449200	
Epoch 1.38 / 50, i = 136 / 17800, loss = 2.473642	
